SPK_SPKC05a (inh),SPK_SPKC09a (inhi),SPK_SPKC14a (no response or late inhi),SPK_SPKC15a (inhi)
147.0147,168.14975,82.657375,117.80425
147.29,168.444025,82.788325,117.969375
147.47235,168.7541,82.800525,118.096425
147.563825,168.984025,82.8625,118.333625
147.70425,169.067375,82.962975,118.449
148.389425,169.188425,83.007875,118.508925
148.6028,170.073225,83.041825,118.79495
148.8167,170.3322,83.047825,118.95935
149.0877,170.49335,83.110225,119.117675
149.120975,170.68335,83.203675,119.420525
149.349075,170.777775,83.249575,119.552325
149.734825,170.9723,83.27895,119.697625
149.894175,171.491275,83.327325,119.932425
150.245725,171.703475,83.5598,120.563475
150.371525,172.069575,83.564375,120.953875
150.460475,173.111,83.73135,121.36515
150.689175,173.225125,83.971025,121.51385
150.882,173.275425,84.052675,121.527575
150.960525,173.508775,84.104325,121.6258
151.0609,173.546975,84.183425,121.8145
151.245175,173.7065,84.224475,121.826675
151.392925,174.1386,84.253375,121.9278
151.443925,174.263375,84.296675,122.07525
151.529975,174.5733,84.42095,122.181825
151.617725,174.597325,84.47535,122.278425
151.898675,174.697425,84.63285,122.43005
152.001775,175.042275,84.768575,122.5211
152.23845,175.3769,84.932225,122.695825
152.763575,176.774225,85.017175,122.874875
152.979925,177.489425,85.034275,123.00935
153.167375,178.24065,85.068525,123.1268
