SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC08a,SPK_SPKC10b,SPK_SPKC11a
158.041825,205.254825,159.899875,263.9831,167.616425
158.071025,205.518675,159.9308,264.026775,167.717875
158.09865,205.63235,159.960175,264.038675,167.7667
158.125625,205.670625,159.985525,264.063725,167.806625
158.151475,205.998475,160.022225,264.1511,167.843675
158.1874,206.01075,160.02755,264.62875,167.9107
158.201525,206.1696,160.038275,265.4527,167.933025
158.220375,206.319275,160.06765,265.48365,168.01785
158.24085,206.478175,160.0823,266.0704,168.0297
158.28645,206.627775,160.16015,266.088575,168.04885
158.311625,206.96045,160.1992,266.1029,168.0721
158.3395,206.974775,160.248875,266.58195,168.12115
158.372225,207.0923,160.2718,266.5972,168.136175
158.404075,207.289525,160.29165,266.60535,168.18125
158.436375,207.4534,160.29815,266.61305,168.20185
158.46485,207.525275,160.33225,266.620825,168.216225
158.5193,207.59165,160.36195,266.63195,168.227425
158.522875,207.87245,160.417325,266.645725,168.2662
158.553725,207.9431,160.463475,266.685,168.2799
158.588125,208.181275,160.47825,266.7042,168.2928
158.65755,208.218225,160.507075,268.586575,168.310125
158.689225,208.483925,160.522375,268.596375,168.34845
158.708325,208.63085,160.5397,268.88395,168.417175
158.7292,208.99815,160.567,268.914025,168.434475
158.755725,209.01185,160.5822,268.921625,168.463825
158.7856,209.675425,160.602825,269.319975,168.479775
158.82245,209.95075,160.612675,269.3899,168.5064
158.848675,210.265025,160.62385,269.46205,168.5352
158.870025,210.984575,160.641675,269.750525,168.552025
158.875925,211.2169,160.660025,269.76285,168.561025
158.897975,211.65485,160.678475,270.0642,168.594075
158.9297,211.688625,160.6921,270.08875,168.6085
158.9605,211.800925,160.7151,270.36505,168.632
158.98675,211.845775,160.7382,270.703325,168.64635
159.005475,212.048825,160.76465,271.058475,168.658125
159.00665,212.2409,160.7746,271.080625,168.6784
159.0227,212.27635,160.79205,271.311525,168.691225
159.0287,212.30845,160.836775,271.342975,168.7349
159.044825,212.50295,160.863475,271.8011,168.796125
159.062525,212.587075,160.893925,272.588825,168.810325
159.079125,212.605625,160.9231,273.01715,168.82255
159.121725,212.9469,160.9558,273.292825,168.833775
159.143725,212.948275,160.974725,273.6153,168.8479
159.153,213.373625,161.0226,273.9786,168.859
159.165325,213.589075,161.102875,274.725225,168.9129
159.1727,213.6485,161.129975,274.732275,168.930875
159.217325,213.688575,161.161225,274.739375,168.94365
159.2529,214.018425,161.208225,274.7609,168.9856
159.323625,214.06635,161.2481,274.87175,169.002175
159.3302,215.009675,161.34625,274.88355,169.037325
159.362975,215.02525,161.414,274.8938,169.054275
159.391325,215.051575,161.42355,274.90675,169.0714
159.40985,215.059525,161.4318,274.940225,169.08855
159.43655,215.083275,161.473825,275.537175,169.122725
159.45075,215.200575,161.4844,275.54975,169.1454
159.4576,215.21275,161.506325,275.583925,169.15895
159.489525,215.412325,161.522125,276.00525,169.1723
159.49875,215.542875,161.529275,276.027225,169.2425
159.511675,216.0844,161.53925,276.04025,169.252875
159.528025,216.102075,161.5524,276.075025,169.2627
159.546025,216.14985,161.566925,276.097525,169.280825
159.5918,216.2231,161.5877,276.118875,169.308325
159.599,216.291175,161.615625,276.445225,169.3487
159.605675,217.09095,161.632975,276.474675,169.37485
159.618425,217.115225,161.645825,276.487775,169.38945
159.63675,217.16615,161.676075,276.5523,169.399775
159.65195,217.176375,161.704825,276.586525,169.41335
159.66955,217.345175,161.723825,276.6194,169.43765
159.6946,217.40675,161.737625,276.69375,169.47995
159.721125,217.69805,161.765625,276.71195,169.497775
159.732475,217.7183,161.793125,277.601325,169.51655
159.73625,217.73205,161.86405,277.615375,169.5524
159.749775,217.751575,161.871675,277.633875,169.57105
159.774075,218.4628,161.87765,278.73995,169.586075
159.80505,218.61265,161.8866,278.760275,169.603325
159.8331,218.758475,161.894825,278.773,169.66475
159.849125,219.064725,161.906875,279.07645,169.68135
159.85835,219.615,161.92145,279.101525,169.699775
159.8816,219.633325,161.936675,279.445275,169.715025
159.88395,219.758275,161.9886,279.756525,169.815525
159.9132,219.9466,162.011125,280.1773,169.827775
159.9391,219.971575,162.03675,280.2399,169.85565
159.95365,220.113,162.1465,280.27465,169.86945
159.95745,220.167975,162.28045,280.32405,169.90045
159.9659,220.175625,162.379375,280.611025,169.912225
159.975875,220.219775,162.389325,280.638325,169.924825
159.987425,220.532325,162.397175,280.70595,169.945825
160.00045,220.55145,162.41215,280.724725,170.00195
160.003775,220.57715,162.420325,280.736975,170.01265
160.007675,220.60925,162.46415,281.135725,170.0566
160.02255,220.631525,162.4903,281.165275,170.067425
160.0322,220.64235,162.508225,281.184375,170.11585
160.053525,220.658075,162.560125,281.594475,170.163975
160.0704,220.9816,162.58435,281.606825,170.233425
160.085175,220.98805,162.625075,281.6215,170.276475
160.114975,221.006875,162.663275,282.09355,170.295025
160.133275,221.5884,162.691625,282.881975,170.334525
160.1604,221.5991,162.716225,282.95615,170.463175
160.1924,221.60635,162.7298,283.3116,170.493875
160.224525,221.77895,162.754825,283.3446,170.50615
160.26775,221.885225,162.760175,283.6598,170.55505
160.275375,221.9378,162.766375,284.0976,170.586425
160.29975,221.990375,162.775625,284.826775,170.652375
160.334,222.0528,162.791,284.86715,170.6827
160.363325,222.068525,162.8074,285.321925,170.70245
160.408425,222.100525,162.822725,285.33315,170.71305
160.425175,222.24515,162.82935,285.348425,170.722
160.440325,222.37055,162.8519,285.379275,170.733175
160.46555,222.435075,162.872325,285.416225,170.839375
160.478775,222.4413,162.8922,286.3993,170.852825
160.480725,222.8277,162.910275,289.2952,170.90895
160.501,223.0969,162.9224,289.328875,170.94085
160.517425,223.289625,162.943225,289.8294,170.9538
160.5399,223.300825,162.99675,290.642375,170.967075
160.5587,223.8397,163.115,290.6558,170.9808
160.573075,223.873725,163.155225,290.964875,170.9982
160.5819,223.93845,163.21085,291.160275,171.03855
160.588525,224.228875,163.22455,291.47975,171.05195
