SPK_SPKC01a (inhi),SPK_SPKC04a (inhi),"SPK_SPKC05a (sharp exc, maybe artef)",SPK_SPKC10a (inhi)
32.64685,90.1485,33.8014,100.082625
32.687075,90.154125,33.87955,100.104
32.75985,90.1771,33.91375,100.3392
32.7774,90.18135,33.981325,100.479775
32.8586,90.18495,34.242725,100.534325
32.87905,90.19565,34.259025,100.9976
32.938625,90.215875,34.268775,101.020125
33.034425,90.23495,34.2784,101.043175
33.101,90.26085,34.2904,101.21545
33.1657,90.31705,34.306725,101.276475
33.183675,90.613825,34.3336,101.3286
33.3194,90.622,34.35525,101.39475
33.439875,90.690825,34.3691,101.445825
33.44835,90.847,34.38085,101.724525
33.456075,90.894325,34.3923,102.187275
33.585525,90.9222,34.89395,102.347075
33.621,90.930975,34.919325,102.517175
33.6849,90.9339,34.953075,102.72115
33.82765,90.935025,34.963525,102.8082
33.884575,90.94475,34.981275,102.854425
33.9148,90.96265,34.9967,102.921575
33.996875,91.0013,35.0162,102.94395
34.050325,91.0367,35.149625,102.985225
34.153425,91.0841,35.179075,103.076125
34.1795,91.140875,35.19495,103.0996
34.20075,91.1585,35.20555,103.1698
34.232175,91.176475,35.249475,103.321075
34.38765,91.188225,35.26525,103.344625
34.552325,91.222325,35.2843,103.502525
34.574,91.284675,35.39145,103.768925
34.6027,91.305,35.42725,103.81815
34.636275,91.3377,36.2677,103.84605
34.72365,91.350725,36.289525,104.07195
34.73735,91.365075,36.328175,104.1
34.756925,91.3685,36.349875,104.279225
34.786225,91.3927,36.367025,104.320525
34.81375,91.44435,36.39415,104.486225
34.82185,91.59605,36.430725,104.53295
34.843575,91.688425,36.44145,104.565675
34.880225,91.743025,36.4524,104.5966
34.917075,91.943775,36.4912,104.75915
35.1084,91.991575,36.52515,104.8931
35.139225,92.05805,36.544575,105.083325
35.145625,92.129375,36.615,105.21735
35.16125,92.2877,36.658325,105.250675
35.16335,92.344675,36.699025,105.28875
35.2061,92.5792,36.998675,105.519825
35.2257,92.596725,37.004425,105.72465
35.333975,92.640025,37.024575,105.762975
35.375275,92.6959,37.042775,105.95505
35.378775,92.804225,37.05785,106.0482
35.425725,92.878125,37.075475,106.2525
35.48205,92.898425,37.150525,106.472975
35.55025,93.29685,37.29165,106.548475
35.591375,93.317675,37.310725,106.628025
35.72255,93.34605,37.326175,106.7831
35.7332,93.5756,37.3431,107.0502
35.752325,93.590625,37.358075,107.08325
35.77125,93.60585,37.374025,107.14715
35.7884,93.616875,37.388125,107.1865
35.841375,93.628425,38.2634,107.3205
35.9211,93.6494,38.284125,107.430225
35.94225,93.673575,38.3119,107.4616
35.962675,93.879125,38.3281,107.5024
35.97225,93.909825,38.3502,107.581975
35.991775,93.953575,38.3807,107.63325
36.01585,94.134725,38.395025,107.70225
36.041575,94.14645,38.433175,107.80475
36.073125,94.21915,38.4536,107.91585
36.097525,94.24995,38.468225,107.998875
36.130025,94.529975,38.47745,108.032225
36.1687,95.221675,38.487425,108.3946
36.28275,95.4912,38.4932,108.68775
36.3385,95.532675,38.49785,108.736875
36.341275,95.5646,38.501875,108.92335
36.3795,95.77435,38.5103,108.9989
