SPK_SPKC09c (exc),SPK_SPKC11a (exc),SPK_SPKC13a (exc),SPK_SPKC13b (inhib)
877.3983,823.652675,815.121075,815.009625
877.481475,823.732,815.1357,815.027475
877.744275,823.8414,815.25865,815.05245
877.7848,823.954225,815.2719,815.082175
877.8949,824.03235,815.29505,815.126875
877.996175,824.0701,815.344325,815.152425
878.188325,824.131625,815.424225,815.19625
878.400525,824.159425,815.42765,815.222275
878.535375,824.214325,815.563325,815.24375
878.619575,824.28125,815.5857,815.276325
878.711225,824.325175,815.6041,815.309475
878.83105,824.3831,815.6757,815.328725
879.0879,824.450625,815.72365,815.35965
879.2057,824.50005,815.7534,815.3749
879.3034,824.60855,815.785,815.391025
879.461075,824.73245,815.868225,815.4457
879.5722,824.80715,815.881975,815.473325
879.614075,824.8382,815.92545,815.505725
879.6228,824.9027,816.012075,815.5381
879.694575,824.953125,816.066975,815.575375
879.83885,825.0585,816.1004,815.63575
879.84095,825.133975,816.1027,815.6539
879.8722,825.1811,816.133525,815.685475
880.0657,825.264375,816.1472,815.726625
880.578375,825.38175,816.19145,815.7721
880.589775,825.467225,816.215325,815.817525
880.59095,825.544125,816.2658,815.84065
880.6798,825.5593,816.367425,815.86
880.711075,825.5767,816.39685,815.891625
880.79845,825.620675,816.464025,815.9183
880.800725,825.6618,816.556575,815.94655
880.863925,825.710775,816.6143,815.979375
880.89535,825.755925,816.66955,816.023475
880.91885,825.898925,816.691825,816.056625
881.00525,826.008275,816.720275,816.08395
881.086275,826.06675,816.7487,816.090025
881.105675,826.121075,816.759925,816.128825
881.214325,826.23365,816.783375,816.176125
881.4206,826.298175,816.79795,816.209875
881.572725,826.439025,816.88725,816.237975
881.77805,826.5256,816.929625,816.2606
881.83975,826.596075,817.016075,816.295575
881.9296,826.634725,817.035875,816.39075
881.99265,826.671325,817.0642,816.448875
882.00795,826.69775,817.100475,816.536225
882.138,826.721625,817.1649,816.5642
882.487625,826.746775,817.1934,816.60265
882.58825,826.776625,817.23645,816.647625
882.8231,826.8055,817.259175,816.666175
882.837075,826.834,817.308225,816.68665
882.89725,826.93075,817.35035,816.706575
883.01575,827.00415,817.39275,816.831725
883.9666,827.066125,817.411425,816.862325
884.05005,827.131875,817.465575,816.921325
884.05465,827.222625,817.467775,816.958725
884.254375,827.266875,817.484575,817.02225
884.47885,827.3486,817.526175,817.052125
884.7259,827.40355,817.576725,817.1289
884.7717,827.486925,817.59685,817.17745
884.909875,827.510525,817.627,817.22185
885.05255,827.541525,817.643875,817.26715
885.108225,827.5965,817.669175,817.323975
885.450225,827.6792,817.693775,817.380375
885.547875,827.726625,817.70805,817.4139
885.5911,827.80655,817.730325,817.43635
885.76655,827.89035,817.812575,817.53575
885.978925,827.954475,817.881275,817.5656
886.00315,828.0114,817.947225,817.590725
886.097975,828.038375,817.98875,817.63695
886.23245,828.0668,818.0318,817.659625
886.30685,828.086975,818.061775,817.731975
886.74055,828.139,818.0912,817.757675
886.889775,828.160775,818.10165,817.81545
887.012325,828.192175,818.1326,817.865575
887.169125,828.250675,818.1638,817.9083
887.18395,828.35925,818.277925,817.99295
887.2498,828.446725,818.31265,818.014875
887.255375,828.508375,818.3683,818.0585
887.38665,828.5601,818.424275,818.08535
887.49315,828.629625,818.493625,818.1031
887.512725,828.73615,818.518175,818.14125
887.5203,828.834175,818.565125,818.192475
887.628475,828.928175,818.609375,818.256225
887.81135,829.0246,818.6214,818.28905
887.908675,829.077675,818.634275,818.323325
888.00215,829.1314,818.665675,818.35375
888.110875,829.157175,818.691025,818.458925
888.14585,829.181525,818.754475,818.4687
888.199825,829.215525,818.7976,818.508175
888.233375,829.254575,818.80235,818.55305
888.382975,829.366,818.81235,818.62635
888.513725,829.422575,818.8612,818.66235
888.579125,829.4702,818.890625,818.69365
888.734425,829.61555,818.91145,818.71915
888.8708,829.6944,818.96105,818.752175
888.893425,829.756525,818.977975,818.7736
889.073925,829.81375,818.993475,818.839275
889.13875,829.84905,819.00865,818.87605
889.20965,829.934925,819.012075,818.8954
889.223975,830.063175,819.044475,818.951875
889.271025,830.123025,819.095525,818.9855
889.28705,830.20205,819.18375,819.0936
889.448825,830.2607,819.268375,819.157075
889.5,830.290325,819.321675,819.19905
889.562,830.383975,819.336375,819.239725
889.61425,830.4482,819.365475,819.289475
889.618775,830.568325,819.404225,819.319825
889.815625,830.641925,819.4066,819.352775
889.96655,830.68055,819.423975,819.388625
890.047175,830.72555,819.488,819.412275
890.114075,830.76615,819.508525,819.432525
890.438425,830.876525,819.531075,819.48285
890.441525,830.9434,819.56395,819.542375
890.54885,831.0094,819.585075,819.5668
890.718475,831.055925,819.64425,819.59895
890.853425,831.082075,819.6596,819.6346
891.023375,831.109275,819.721525,819.6647
891.146675,831.18465,819.744175,819.694375
891.164275,831.22025,819.7521,819.717575
891.3343,831.247275,819.8097,819.741325
891.44855,831.282775,819.819225,819.797925
891.739325,831.3082,819.853225,819.859825
892.251175,831.354625,819.883275,819.94895
892.361925,831.39605,819.912575,819.981125
892.5553,831.42705,819.926825,820.001825
892.64975,831.4902,819.963275,820.0296
892.756875,831.5644,819.97485,820.053525
893.007525,831.6218,820.010025,820.15095
893.188475,831.661725,820.051475,820.17415
893.2706,831.700425,820.101375,820.24625
893.3622,831.74965,820.17785,820.28655
893.584425,831.7711,820.21265,820.31205
893.669075,831.793975,820.22685,820.380725
893.959475,831.82265,820.251075,820.43025
894.1737,831.84415,820.2701,820.4964
894.22255,831.897,820.334025,820.5287
894.441825,831.930875,820.460275,820.5544
894.822375,831.957675,820.462125,820.6082
894.95915,832.00885,820.493225,820.649825
895.08175,832.043775,820.510975,820.7069
895.10575,832.10415,820.5525,820.7303
895.2387,832.163025,820.582575,820.797375
895.52735,832.235875,820.61435,820.9247
895.7516,832.324475,820.6473,820.97655
895.966175,832.39395,820.7001,821.0208
896.0675,832.4663,820.8227,821.077
896.263925,832.53325,820.892175,821.08645
896.313475,832.641325,820.926675,821.12405
896.40115,832.695875,820.9602,821.200725
896.478575,832.75055,820.990025,821.226325
896.6168,832.8123,821.009125,821.42545
896.641725,832.880575,821.10145,821.462425
896.96895,832.9413,821.174925,821.504525
897.089175,832.991025,821.189975,821.572925
897.400575,833.0891,821.2157,821.61275
897.710175,833.16325,821.229575,821.640125
897.83245,833.24215,821.25215,821.675525
898.027775,833.322975,821.261,821.71265
898.262875,833.370325,821.31405,821.749525
898.66855,833.4086,821.321675,821.77745
898.72565,833.444325,821.340175,821.814325
898.904225,833.506875,821.364125,821.85105
899.158375,833.72415,821.385875,821.900275
899.352725,833.772425,821.42045,821.931775
899.62865,833.83565,821.450125,821.97435
900.004225,833.854625,821.477975,821.997175
900.28285,833.874625,821.507375,822.03265
900.3135,833.93585,821.603575,822.05115
900.892675,833.9615,821.64385,822.07175
901.18805,834.003175,821.669425,822.082725
901.287675,834.045125,821.73395,822.1276
901.3603,834.107025,821.747,822.19015
901.4765,834.172275,821.815425,822.212225
901.6383,834.278175,821.8532,822.232675
901.645325,834.35905,821.8846,822.2622
901.798625,834.433175,821.95855,822.28775
901.8732,834.4656,821.988225,822.335275
901.88515,834.499525,822.0251,822.36255
902.091825,834.611925,822.0417,822.389675
902.56575,834.680775,822.067075,822.420025
902.61305,834.751575,822.116225,822.47935
902.706025,834.824075,822.155325,822.520925
902.822675,834.875,822.173675,822.56325
902.91425,834.923475,822.204125,822.60195
903.0261,835.012125,822.218175,822.643425
903.056225,835.04845,822.240875,822.6663
903.1774,835.10945,822.2759,822.69825
903.2203,835.173325,822.289,822.727025
903.41015,835.222425,822.34005,822.74
903.58775,835.3083,822.366425,822.77325
903.775125,835.367075,822.43215,822.782475
903.77675,835.441925,822.4435,822.81935
904.1577,835.508875,822.45535,822.839625
904.373025,835.55995,822.502575,822.949675
904.472475,835.5974,822.612125,822.973225
904.50765,835.64035,822.65175,823.010375
904.6223,835.70555,822.69695,823.0316
905.05605,835.9178,822.71785,823.06615
905.259475,835.951925,822.764075,823.08845
905.391875,835.9891,822.7677,823.109225
905.5188,836.01445,822.7798,823.12015
905.5585,836.0367,822.789225,823.195575
905.7577,836.0624,822.798875,823.223925
905.76355,836.094575,822.80185,823.2487
906.018675,836.1415,822.825025,823.2995
906.161975,836.193725,822.843325,823.3265
906.483625,836.260675,822.854125,823.346625
906.68815,836.307825,822.865325,823.37635
907.094725,836.345525,822.868925,823.400525
907.324575,836.412425,822.885125,823.42355
907.59575,836.495275,822.89305,823.457925
907.615125,836.537025,822.920375,823.494825
907.771175,836.615275,822.93735,823.4962
908.005975,836.651125,822.9692,823.515925
908.0769,836.673925,822.977075,823.5467
908.175375,836.710125,822.995375,823.57695
