SPK_SPKC07a (inhi),SPK_SPKC10a (no opto-tagging),SPK_SPKC16a (no clear)
518.021,565.0715,675.7459
518.03775,565.149775,676.0041
518.0825,565.255975,676.185675
518.100675,565.379275,676.3056
518.35385,565.538225,676.374425
518.3702,565.705125,676.73055
518.385475,565.803,676.801875
518.416325,565.862775,676.81455
518.4307,565.903925,676.83615
518.450325,566.065525,676.857075
518.465625,566.191525,676.899375
518.496225,566.20115,677.068225
518.50905,566.2434,677.450925
518.532175,566.256425,677.50965
518.54365,566.34805,678.16715
518.5603,566.451675,678.590225
518.58785,566.478425,678.6011
518.6029,566.56545,678.726475
518.6273,566.64175,678.892375
518.6572,566.751175,679.12645
518.699925,566.76085,679.87785
518.716125,567.037975,680.037025
518.7395,567.13425,681.49845
518.752625,567.253825,681.515025
518.76835,567.370225,681.609675
518.78235,567.457925,681.7796
518.8091,567.459425,682.157025
518.8365,567.8492,682.202075
518.854775,567.957725,682.342525
518.90255,568.247925,682.382175
518.9185,568.31075,682.535
518.932375,568.339075,682.5603
518.9521,568.384325,682.690125
518.9755,568.5812,682.712425
518.99075,568.64225,683.131475
519.00805,568.71205,683.3438
519.018525,568.75835,683.421725
519.029175,568.7809,684.006725
519.059025,568.818575,684.1725
519.0736,568.848875,684.280475
519.159775,568.85715,684.611175
519.2765,569.02595,684.6334
519.287525,569.114,685.0689
519.300475,569.1759,685.0817
519.31135,569.197725,685.2597
519.32235,569.2105,685.332575
519.3323,569.305375,685.3402
519.346525,569.343175,685.4829
519.3609,569.41785,685.523475
519.377225,569.47475,685.791175
519.3854,569.49645,686.181875
519.397825,569.565525,686.263425
519.41595,569.70665,686.981825
519.432275,569.717375,687.180275
519.44825,569.760825,687.29975
519.461875,569.777925,687.3095
519.5064,569.94385,687.356975
519.5207,569.953975,687.539175
519.539875,569.971575,688.189375
519.5663,570.071925,688.27525
519.584825,570.11445,688.6259
519.6015,570.29495,688.679225
519.637575,570.300275,688.69775
519.702625,570.384475,688.7705
519.72455,570.396325,688.98475
519.75395,570.4949,689.291825
519.78195,570.866975,689.391975
519.805475,570.92775,689.605675
519.820425,571.052375,689.6514
519.8548,571.1885,689.92835
519.871525,571.3066,690.4954
519.8859,571.528425,690.538675
519.975725,571.657475,690.6307
520.077975,571.67075,690.694275
520.122975,571.77765,690.768475
520.1378,571.978275,691.0093
520.15025,572.084775,691.282725
520.1591,572.155275,691.56215
520.172175,572.203825,692.481225
520.18235,572.3149,692.976025
520.19325,572.393825,693.174425
520.202,572.6301,693.454325
520.216525,572.7343,693.587875
520.228,572.7861,693.618225
520.24555,573.0522,693.7089
520.26215,573.07735,693.79195
520.281475,573.11535,694.394225
520.297975,573.16855,695.09525
520.3091,573.2971,695.333075
520.3287,573.35445,695.448475
520.347825,573.430375,696.014525
520.36515,573.462175,696.63335
520.378025,573.50275,697.092675
520.3942,573.63355,697.559825
520.4067,573.6776,697.668575
520.42525,573.7415,697.753375
520.443325,573.756175,698.008
520.456825,573.820475,698.325625
520.4706,573.922675,698.52635
520.484825,574.0477,698.6393
520.495725,574.062275,698.796925
520.509975,574.172475,698.879925
520.519925,574.33365,699.018525
520.539575,574.52175,699.038425
520.57075,574.660925,699.112875
520.585275,574.688225,699.2264
520.592625,574.709175,699.446875
520.6029,575.0057,699.55625
520.6264,575.01065,
520.648875,575.158875,
520.674625,575.1812,
520.686275,575.198075,
520.725625,575.2833,
520.7449,575.312625,
520.758325,575.332775,
520.7809,575.345525,
520.805375,575.3475,
520.87115,575.358075,
520.885325,575.39465,
520.89975,575.486,
520.91215,575.508975,
520.9331,575.6184,
520.94275,575.772475,
520.952675,576.0466,
520.961675,576.0782,
520.97165,576.279325,
521.0067,576.369525,
521.04095,576.44355,
521.05115,576.4556,
521.06065,576.54925,
521.07015,576.638575,
521.0813,576.649425,
521.0903,576.7361,
521.10385,576.751575,
521.132675,576.7983,
521.142825,577.0432,
521.181075,577.10385,
521.200975,577.13285,
521.2275,577.317625,
521.24285,577.332125,
521.272,577.35595,
521.296175,577.375825,
521.30495,577.47955,
521.3136,577.49965,
521.339775,577.58595,
521.3489,577.751325,
521.360125,577.796425,
521.3708,577.803625,
521.396825,577.842775,
521.40575,577.994025,
521.420975,578.0331,
521.431575,578.612475,
521.448225,578.643875,
521.4767,578.658025,
521.48935,578.727775,
521.499175,578.766275,
521.51515,579.0302,
521.547925,579.094575,
521.572175,579.292225,
521.590325,579.44515,
521.606725,579.473925,
521.617925,579.612325,
521.635175,579.657075,
521.646775,579.6997,
521.653825,580.101525,
521.660325,580.193925,
521.687725,580.32065,
521.695925,580.45645,
521.704575,580.52785,
521.71475,580.604075,
521.72445,580.627575,
521.73495,580.807425,
521.7588,581.119225,
521.7695,581.178325,
521.787975,581.214375,
521.796125,581.2297,
521.8078,581.26495,
521.814425,581.3661,
521.85405,581.47485,
521.862525,581.58325,
521.878675,581.67975,
521.90075,581.894775,
521.916675,581.9631,
521.93455,582.059,
521.946625,582.068975,
521.969675,582.091175,
521.979625,582.2332,
522.013175,582.2832,
522.0216,582.33465,
522.0405,582.606625,
522.058075,582.615025,
522.076225,582.626075,
522.2294,582.812225,
522.2434,582.851875,
522.257575,582.8908,
