SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC13b,SPK_SPKC13c
210.623075,,,,,3792.2816
210.655475,,,,,3792.658425
210.695275,,,,,3792.7727
210.7309,,,,,3792.89535
210.992825,,,,,3793.107275
211.0363,,,,,3793.307
211.075975,,,,,3793.334725
211.189975,,,,,3793.449925
211.234675,,,,,3793.552
211.280725,,,,,3793.618375
211.416475,,,,,3793.748525
211.502075,,,,,3793.752475
211.53735,,,,,3793.861825
211.57085,,,,,3793.8718
211.837675,,,,,3793.978375
211.9699,,,,,3794.0698
212.06235,,,,,3794.284225
212.169425,,,,,3794.498225
212.215875,,,,,3794.5994
212.337825,,,,,3794.69295
212.4281,,,,,3794.80885
212.477725,,,,,3794.9253
212.509575,,,,,3795.0521
212.59735,,,,,3795.23145
212.633625,,,,,3795.370975
212.7041,,,,,3795.6001
212.74035,,,,,3795.703225
212.806525,,,,,3796.036325
212.84335,,,,,3796.3106
