SPK_SPKC02a (NA),SPK_SPKC05b (NA),SPK_SPKC06a (weak excitation),SPK_SPKC10a (short excitation),SPK_SPKC11a (no effect)
113.7616,182.373675,18.533925,20.105425,25.2246
114.042325,183.56705,18.5704,20.16785,25.246825
114.2337,184.296475,18.580925,20.185475,25.2574
114.401925,184.3476,18.604225,20.209675,25.278725
114.496925,184.476025,18.608475,20.224975,25.3251
114.641925,184.935825,18.654075,20.504475,25.330725
114.698975,185.00835,18.68805,20.62435,25.349375
114.879675,185.035875,18.7058,20.734325,25.383325
115.423975,185.394675,18.768675,20.85135,25.40665
115.6062,185.641625,18.79525,20.8913,25.48235
115.62775,185.9923,18.808075,20.9099,25.499325
115.6981,186.3049,18.8613,20.944525,25.5846
115.710075,186.54935,18.881275,21.01005,25.6608
115.806525,187.22025,18.8877,21.0305,25.75225
115.8141,187.30165,18.910675,21.07115,25.75395
115.83345,187.43815,18.9721,21.096225,25.80965
115.838175,187.5832,18.992825,21.133825,25.838525
115.86405,187.610675,19.0512,21.159375,25.93135
116.265075,187.9275,19.078525,21.26815,25.94885
116.3123,187.9642,19.119625,21.297275,25.99605
116.63475,187.9704,19.174475,21.368375,26.02895
116.70735,188.021575,19.2151,21.431825,26.044525
116.818575,188.41225,19.3125,21.46935,26.04595
116.871875,188.44285,19.355475,21.507975,26.0629
116.955,188.731525,19.37775,21.5705,26.0978
117.057975,189.14695,19.449525,21.63565,26.1247
117.246175,189.355975,19.517025,21.7378,26.1583
117.636475,189.590975,19.5466,21.769375,26.17485
118.066675,190.670575,19.566575,21.878225,26.36215
118.138275,190.99265,19.58555,21.933375,26.393975
118.900775,191.02075,19.63895,21.98285,26.460725
119.048075,191.2694,19.67995,22.080475,26.510175
119.10215,191.739225,19.713975,22.094925,26.561175
119.16675,191.7583,19.719475,22.107725,26.612575
119.25635,191.80315,19.7352,22.12315,26.652
119.428925,191.983375,19.803975,22.144525,26.717775
119.442325,191.99895,19.829475,22.17325,26.7351
119.46225,192.14485,19.953375,22.194225,26.751125
119.4903,192.38215,20.0058,22.22355,26.84485
119.898825,192.3992,20.037375,22.250575,26.91985
119.939375,192.416475,20.072625,22.2702,26.96165
120.051,192.838075,20.18705,22.301325,26.99855
120.35615,193.62045,20.210525,22.3222,27.08005
120.822275,193.7009,20.283725,22.4243,27.139325
121.33005,193.723075,20.325225,22.467375,27.14335
121.498475,193.769825,20.44875,22.52175,27.160225
121.622525,193.825525,20.49135,22.579025,27.17825
