SPK_SPKC02a (inhibited),SPK_SPKC05a (inhibited)
31.3949,174.324075
31.41055,174.37905
31.423925,174.461925
31.442075,174.70415
31.461225,174.823125
31.47435,174.881175
31.543,175.175375
31.545925,175.238475
31.603175,175.3081
31.614175,175.438425
31.618325,175.510475
31.624175,175.556275
31.636325,175.5683
31.660025,175.98565
31.669375,176.105475
31.68445,176.50355
31.704575,176.55015
31.718525,176.804675
31.7285,176.850025
31.734325,177.42885
31.7611,177.4855
31.7717,177.530425
31.784725,177.602425
31.795475,177.93495
31.831525,177.991875
31.845475,178.054675
31.863825,178.102675
31.880225,178.527775
31.8901,178.8219
31.907925,179.9669
31.923225,180.032725
31.943125,180.0952
31.95785,180.1016
31.968275,180.178175
31.984025,180.395625
32.0136,180.526325
32.05355,180.62955
32.069,180.658375
32.096125,181.248825
32.125025,181.3174
32.13845,181.337075
32.152625,181.382725
32.1628,181.42535
32.164825,181.48775
32.1793,181.566875
32.199275,181.579525
32.211025,181.76795
32.2218,181.95765
32.248775,182.0813
32.25035,182.0895
32.267,182.2046
32.280375,182.31975
32.29845,182.855075
32.3108,183.216625
32.333475,183.330875
32.354925,183.3587
32.36145,183.45925
32.37635,183.687275
32.408275,183.8982
