SPK_SPKC02a (no response),SPK_SPKC07a (exc/inh)
279.764275,307.234575
279.924025,307.25945
279.97785,307.374
280.09885,307.63865
280.239675,307.681025
280.308375,307.72695
280.389075,307.919
280.4232,307.9848
280.5443,308.0135
280.59575,308.0446
280.65655,308.113375
280.737625,308.1749
280.888575,308.220325
280.969175,308.2814
281.049375,308.5235
281.206375,308.627275
281.349925,308.6439
281.39355,308.829875
281.441775,308.9321
281.6593,309.0956
281.7548,309.330675
281.8367,309.408725
281.8827,309.5431
281.930725,309.824475
281.990625,309.96115
282.0557,310.138125
282.10315,310.3505
282.159975,310.438275
282.2087,310.445375
282.32285,310.7493
282.399025,310.78615
282.4827,310.843225
282.551625,310.9244
282.61055,310.955025
282.758,311.0008
282.888175,311.160125
283.01945,311.180325
283.161725,311.2077
283.211825,311.249075
283.297675,311.39975
283.375975,311.41225
283.573375,311.427725
283.7512,311.47715
283.8087,311.494575
283.92115,311.64265
283.955175,311.69005
284.142925,311.77245
284.31115,311.8678
284.40685,311.905075
284.562,311.923325
284.8175,311.98665
284.927875,312.076975
285.1218,312.11435
285.2347,312.2047
285.3819,312.2512
285.5464,312.303875
285.638575,312.30965
285.778225,312.3634
286.04395,312.43435
286.212375,312.49235
286.325475,312.61125
286.403175,312.636275
286.63705,312.82935
286.7129,312.87565
286.84505,312.918125
287.003625,312.937525
287.142375,312.97475
287.3058,313.122625
287.4368,313.182275
287.54575,313.2966
287.613225,313.4347
287.84735,313.50845
287.961625,313.7109
288.102225,313.800825
288.211225,313.9255
288.801075,313.972375
289.049775,314.0068
289.196625,314.106675
289.370475,314.148
289.55645,314.183525
289.631625,314.87455
289.910925,314.91415
289.972975,314.97995
290.06375,314.9884
290.153625,315.042075
290.242825,315.1839
290.29745,315.4694
290.436425,315.583525
290.6582,315.608675
290.77205,315.88555
290.824075,316.2288
290.987475,316.458825
291.077225,316.59405
291.237775,316.6545
291.354225,318.6632
291.467425,318.718425
291.575675,318.7683
291.753075,318.7977
291.87315,318.8201
292.0665,318.976475
292.2326,319.0378
292.3852,319.504
292.5273,319.529675
292.6085,319.6739
292.7105,320.87235
292.90065,321.15855
293.075325,321.26865
293.22225,321.42205
293.37755,321.614175
293.547475,321.62085
293.699125,321.7041
293.776425,322.294875
294.060175,322.5063
294.380875,322.781325
294.4617,323.5108
294.575775,323.5443
294.688,323.552925
294.8187,323.618225
294.88475,323.628
294.99275,323.870125
295.212675,323.95775
295.3138,323.96805
295.5201,323.99145
295.665225,324.0518
295.8107,324.09055
296.3065,324.10805
296.58935,324.121625
296.68615,324.128025
296.7196,324.143925
296.838775,324.1554
297.014125,324.169775
297.321925,324.209575
297.45245,324.21705
297.5463,324.2369
297.642925,324.27105
297.8667,324.29665
298.03165,324.3653
298.153425,324.73785
298.399325,324.833225
298.505425,324.97625
298.586675,325.024975
298.7067,325.03935
298.80305,325.43015
298.955825,325.797325
299.067925,325.820925
299.211725,325.82925
299.324025,326.077475
299.4298,326.088575
299.572875,326.15405
299.695375,326.179575
299.88165,326.32745
300.0089,326.372175
300.106,326.429925
300.345125,326.608575
300.489,326.6811
300.75675,326.70815
302.565275,327.091625
302.63,327.1718
302.742675,327.194375
302.8296,327.24555
302.9328,327.288825
303.053925,327.308875
303.162275,327.32115
303.2561,327.33225
303.374275,327.34215
303.4684,327.473775
303.59965,327.639125
303.696875,327.65015
303.773875,327.699275
303.86555,327.81565
303.97865,327.8272
304.13385,328.04955
304.2693,328.0626
304.45295,328.194325
304.56415,328.20985
304.689225,328.23715
304.750175,328.29755
304.886275,328.524475
305.048625,328.574575
305.141575,328.596275
305.293925,328.646
305.52315,328.788475
305.59535,328.959975
305.74105,329.0216
305.8463,329.03975
305.998875,329.117725
306.083275,329.34975
306.23035,329.407025
306.460825,329.58995
306.67605,329.720825
306.76275,330.114175
306.889425,330.121325
306.96815,330.214675
307.12815,330.2405
307.279325,330.310025
307.384675,330.3239
307.484425,330.3393
307.666975,330.372475
307.831875,330.577975
307.923425,330.59025
307.968175,330.728825
308.206325,330.976425
308.315675,331.07
308.53605,331.158175
308.614725,331.160975
308.705275,331.3365
308.85435,331.346725
309.06545,331.50875
309.17955,331.523625
309.32195,331.5699
309.4018,331.595175
309.50635,331.614975
309.593425,331.67185
309.651475,331.708675
309.6904,331.824925
309.80095,331.8655
309.892725,331.943325
309.988875,332.064925
310.12175,332.070575
310.228975,332.092775
310.343725,332.1771
310.43185,332.212925
310.546575,332.323825
310.738525,332.500375
310.830575,332.675175
310.9202,332.7004
310.993275,332.7122
311.0722,332.762175
311.271275,332.968325
311.371075,333.03775
311.54095,333.079375
311.658675,333.1147
311.7801,333.3726
311.849275,333.455475
311.9227,333.4879
311.986275,333.5151
312.225925,333.571775
312.381175,333.6378
