SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
517.04555,519.805375,519.256,,510.14965,
517.07445,519.961475,519.295275,,510.181475,
517.1126,519.9927,519.338125,,510.187,
517.131125,520.001725,519.380175,,510.20305,
517.2193,520.026975,519.40625,,510.225375,
517.275625,520.06905,519.450975,,510.241975,
517.3461,520.11975,519.4784,,510.2529,
517.381275,520.22605,519.55295,,510.26655,
517.41035,520.36145,519.621075,,510.269175,
517.501225,520.3732,519.70895,,510.2919,
517.53675,520.3993,519.767525,,510.311225,
517.575025,520.4275,519.79965,,510.33665,
517.610375,520.4558,519.8379,,510.35605,
517.614775,520.48845,519.885225,,510.370975,
517.649975,520.51445,519.95365,,510.3919,
517.69915,520.566025,519.994575,,510.396975,
517.7223,520.605675,520.035625,,510.417525,
517.733675,520.6355,520.074075,,510.430225,
517.73855,520.711125,520.11855,,510.4642,
517.79575,520.735175,520.17795,,510.483625,
517.851225,520.779325,520.213,,510.5178,
517.89735,520.818175,520.2618,,510.54275,
517.93095,520.907975,520.331825,,510.568525,
517.957925,520.93525,520.36345,,510.60535,
518.037875,520.958325,520.42325,,510.6256,
518.065475,520.989125,520.46495,,510.6463,
518.1561,521.069175,520.516425,,510.677675,
518.194475,521.262325,520.551725,,510.694975,
518.212575,521.317375,520.595925,,510.736225,
518.33235,521.343375,520.6531,,510.752225,
518.375425,521.4415,520.73385,,510.78005,
518.41745,521.480825,520.794625,,510.795725,
518.490825,521.5593,520.8285,,510.8267,
518.5545,521.61695,520.851325,,510.85315,
518.594425,521.690475,520.88095,,510.87555,
518.650225,521.8379,520.9002,,510.9116,
518.739375,521.951325,520.918775,,510.93225,
518.798125,522.099925,520.940925,,510.9469,
518.850225,522.160925,521.012,,510.9574,
518.878175,522.19235,521.0485,,510.984925,
518.92475,522.291425,521.0975,,510.9891,
519.02035,522.316325,521.1548,,510.99635,
519.0475,522.684,521.2141,,511.046575,
519.072075,522.701525,521.25625,,511.062025,
519.098375,522.726025,521.2926,,511.087825,
519.12055,522.81365,521.330325,,511.1084,
519.152675,522.848125,521.367175,,511.13845,
519.186925,522.927625,521.45605,,511.17345,
519.34745,523.090675,521.50335,,511.202625,
519.4097,523.13755,521.5639,,511.22455,
519.442775,523.260525,521.594025,,511.25515,
519.488975,523.27925,521.621625,,511.305925,
519.56365,523.314475,521.647875,,511.323175,
519.6248,523.324775,521.691125,,511.352075,
519.6346,523.346575,521.736275,,511.366325,
519.67045,523.43035,521.8127,,511.391425,
519.698975,523.70505,521.865375,,511.412475,
519.7798,523.758425,521.9188,,511.424175,
519.80785,523.796275,521.992825,,511.4409,
519.8995,523.89255,522.066625,,511.4701,
519.937575,523.91405,522.1892,,511.4832,
519.965175,524.015075,522.289775,,511.50565,
519.97435,524.174225,522.342775,,511.527975,
520.006675,524.24435,522.365525,,511.5418,
520.00995,524.2781,522.4439,,511.5547,
520.06335,524.33625,522.48965,,511.632975,
520.10635,524.360025,522.519675,,511.643825,
520.14315,524.41145,522.566975,,511.659125,
520.16795,524.45995,522.6469,,511.68025,
520.23015,524.555225,522.7031,,511.69585,
520.281,524.586625,522.7229,,511.7117,
520.311675,524.632725,522.788025,,511.72465,
520.36745,524.670175,522.81615,,511.75315,
520.4416,524.722225,522.8511,,511.7738,
520.4613,524.743775,522.8958,,511.7851,
520.528025,524.762175,522.95425,,511.7993,
520.57745,524.82515,522.989875,,511.819625,
520.58375,524.891875,523.047175,,511.8451,
520.624425,524.913325,523.0807,,511.8552,
520.675375,524.96225,523.128675,,511.8749,
520.706775,525.06165,523.183125,,511.897125,
520.71595,525.18885,523.23305,,511.918675,
520.764725,525.268325,523.27195,,511.932525,
520.822825,525.299675,523.31665,,511.942025,
520.869375,525.384975,523.35255,,511.9611,
520.87825,525.42605,523.3846,,511.982125,
520.91715,525.458625,523.426475,,512.0005,
520.9513,525.5058,523.480325,,512.02065,
520.954375,525.53435,523.540875,,512.036925,
520.9927,525.616225,523.577875,,512.045475,
521.006075,525.700125,523.614875,,512.055825,
521.037325,525.7797,523.66185,,512.0599,
521.11475,525.827125,523.694575,,512.0655,
521.273025,525.85195,523.73575,,512.0853,
521.327125,525.8986,523.780425,,512.09625,
521.364925,525.916775,523.8291,,512.1165,
521.4552,526.098325,523.8758,,512.1295,
521.51235,526.23265,523.902275,,512.15205,
521.58345,526.398975,523.9471,,512.1622,
521.691675,526.462425,523.98435,,512.1735,
521.727425,526.5768,524.012625,,512.191975,
521.735725,526.6488,524.04425,,512.21925,
521.806875,526.84965,524.083375,,512.23035,
521.846825,526.956,524.156325,,512.266325,
521.853425,527.0225,524.187675,,512.285825,
521.89835,527.0829,524.28705,,512.32455,
521.93745,527.519225,524.418675,,512.3422,
521.9696,527.5802,524.453125,,512.36255,
