SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC07a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC15a
3843.737,,3954.4636,3934.476825,,3855.744625
3843.83715,,3954.630175,3934.958775,,3855.7832
3843.879075,,3955.0315,3935.637875,,3855.89335
3843.919625,,3955.1774,3935.6912,,3856.133275
3844.000725,,3955.489675,3935.9913,,3856.209875
3844.091825,,3957.767525,3936.5549,,3856.313275
3844.498025,,3958.794425,3937.592625,,3856.331625
3844.5886,,3959.21995,3937.6878,,3856.43715
3844.603775,,3959.3564,3938.1942,,3856.47275
3844.726425,,3959.476925,3938.83085,,3856.78365
3844.779825,,3959.620275,3939.126925,,3856.946625
3844.921525,,3959.92405,3940.0714,,3857.05275
3845.0052,,3960.0192,3940.4986,,3857.545775
3845.08205,,3960.1833,3941.02615,,3857.692575
3845.128,,3960.51095,3941.34845,,3858.046175
3845.4555,,3960.9768,3941.520875,,3858.34855
3845.867325,,3961.25795,3941.715,,3858.4143
3846.068725,,3961.53395,3943.040425,,3858.4878
3846.173725,,3961.5736,3943.076775,,3858.6085
3846.438125,,3961.8339,3944.207075,,3858.76135
3846.5366,,3961.9645,3944.470975,,3859.0065
3846.643875,,3962.679075,3944.70425,,3859.042475
3846.881125,,3964.749425,3945.649875,,3859.45085
3846.9616,,3964.9881,3945.905975,,3859.617
3847.103625,,3965.1018,3946.105375,,3859.68855
3847.134675,,3965.215925,3946.935625,,3859.9536
3847.501,,3965.48925,3948.016075,,3860.221675
3847.592525,,3965.667325,3948.796225,,3860.284875
3847.73875,,3966.313825,3949.2944,,3860.453675
3847.7613,,3966.3676,3950.0345,,3860.61355
3848.063875,,3966.759475,3950.049575,,3860.743825
3848.22285,,3967.108975,3950.584675,,3860.88605
3848.292875,,3967.502775,3951.256075,,3861.28865
3848.3839,,3967.8864,3951.61705,,3861.560525
3848.482775,,3968.357725,3951.759,,3861.65765
3848.52855,,3969.325925,3952.5017,,3861.69975
3848.583425,,3969.733625,3953.26705,,3861.73205
3848.9765,,3969.9538,3953.37905,,3861.888825
3849.27815,,3970.800725,3953.452325,,3862.171925
3849.371325,,3971.748425,3953.889725,,3862.233625
3849.4191,,3972.417025,3954.326175,,3862.43805
3849.510825,,3972.753575,3954.8519,,3862.5177
3849.51585,,3972.778325,3955.2243,,3862.7748
3849.88185,,3972.842225,3956.1062,,3863.164075
3850.3163,,3972.9441,3957.4269,,3863.33035
3850.39905,,3973.1046,3959.924325,,3863.4078
3850.6844,,3973.472525,3961.040775,,3863.733475
3850.917725,,3973.5555,3962.696275,,3863.813975
3851.234775,,3973.62085,3962.968225,,3863.99475
3851.33895,,3973.86795,3963.315525,,3864.07705
3851.37515,,3974.059625,3964.1948,,3864.390025
3851.50715,,3974.229075,3965.007475,,3864.417775
3851.804925,,3975.798975,3967.120975,,3864.743875
3851.859675,,3976.52395,3967.794775,,3864.832275
3851.9684,,3976.915775,3968.51885,,3865.061175
3852.10685,,3976.942725,3968.9892,,3865.263
3852.41525,,3976.943825,3969.3341,,3865.587075
3852.7593,,3977.353775,3969.413475,,3865.7627
3852.809675,,3977.6345,3969.73825,,3866.0682
3853.1268,,3977.8955,3970.341625,,3866.470875
3853.367975,,3978.11785,3970.79915,,3866.5144
3853.461675,,3979.339075,3970.890175,,3866.706925
3853.7341,,3979.60835,3971.018625,,3866.8813
3853.77745,,3979.64145,3971.759375,,3866.93155
3854.067625,,3979.95725,3972.40975,,3867.082375
3854.257625,,3980.176775,3975.803975,,3867.25315
3854.391975,,3981.00975,3976.93765,,3867.356625
3854.57145,,3981.175025,3977.952775,,3867.399175
3854.8265,,3981.231275,3978.36415,,3867.497775
3855.27495,,3981.293575,3978.632125,,3867.582375
3855.575,,3982.060675,3979.1883,,3867.722225
3855.808625,,3982.2426,3979.520225,,3867.957975
3855.8709,,3982.52715,3979.580425,,3868.07175
3856.005475,,3982.959075,3979.88995,,3868.353525
3856.429275,,3983.004925,3980.745625,,3868.45265
3856.5015,,3983.03575,3981.031675,,3868.796675
3856.549575,,3983.192525,3981.0395,,3868.801325
3856.551675,,3983.52585,3981.1929,,3868.936825
3857.371025,,3983.584325,3981.83825,,3869.27395
3858.008025,,3983.709975,3982.456225,,3869.375075
3858.3622,,3984.282675,3982.49765,,3869.44665
3858.7256,,3984.682275,3984.819125,,3869.5571
3858.744675,,3985.166375,3984.826275,,3870.36315
3858.99425,,3985.2312,3985.322325,,3870.4759
3859.036725,,3985.4473,3985.503525,,3870.770225
3860.0297,,3986.75645,3985.5529,,3870.9305
3860.339375,,3987.017825,3986.31245,,3871.213175
3860.395175,,3987.9701,3987.385525,,3871.2365
3860.528525,,3988.149425,3987.926625,,3871.86295
3860.753875,,3988.51615,3989.4854,,3872.064
3861.00485,,3988.569175,3989.70655,,3872.429175
3861.248975,,3988.76715,3990.112725,,3872.467675
3861.3964,,3989.52945,3990.6611,,3872.6946
3861.8583,,3989.7299,3990.9867,,3872.958925
3861.988325,,3989.91,3991.2735,,3873.08035
3862.192125,,3990.106675,3991.919475,,3873.242625
3862.3248,,3990.94535,3992.08865,,3873.287775
3862.39165,,3991.2163,3992.221825,,3873.529525
3862.4412,,3991.421625,3992.914125,,3873.70735
3862.50085,,3991.566225,3993.1866,,3873.766225
3862.744225,,3991.803125,3993.307375,,3873.952725
3863.475475,,3992.217925,3993.44615,,3874.47665
