SPK_SPKC01a (exc),SPK_SPKC10a (exc),SPK_SPKC16a (exc)
193.460525,199.272475,191.321875
193.479375,199.341875,191.3521
193.562825,199.39645,191.370675
193.5962,199.41985,191.391025
193.635875,199.44775,191.456675
193.67635,199.497625,191.516025
193.697775,199.540775,191.540925
193.742475,199.5834,191.60155
193.789675,199.626475,191.6252
193.828325,199.6661,191.7
193.85025,199.700025,191.726975
193.90365,199.7279,191.76865
193.924125,199.75925,191.811175
193.96475,199.854525,191.876275
193.9744,199.898,191.9446
194.0153,199.934375,191.9989
194.041475,199.963375,192.0734
194.06945,199.996825,192.146675
194.142125,200.028225,192.170825
194.161275,200.07965,192.187675
194.193,200.124975,192.286025
194.221825,200.1602,192.36615
194.249625,200.21455,192.419625
194.278375,200.26295,192.464325
194.304575,200.29985,192.5004
194.321375,200.34505,192.51955
194.3712,200.3723,192.542975
194.392625,200.411225,192.575
194.4652,200.45585,192.59015
194.49285,200.4872,192.615825
194.522075,200.526725,192.626575
194.55375,200.561,192.682425
194.58545,200.6272,192.75945
194.60535,200.659,192.795775
194.6188,200.7098,192.84265
194.65345,200.798075,192.8895
194.694075,200.84695,192.925125
194.729075,200.8814,192.959725
194.7648,200.911625,193.02795
194.7896,200.94015,193.05175
194.82105,200.993175,193.102675
194.825775,201.039775,193.113225
194.8526,201.091025,193.13425
194.890225,201.130725,193.151375
194.9315,201.168025,193.1669
194.9529,201.209,193.193575
194.9944,201.353925,193.212775
195.01785,201.38435,193.2363
195.05405,201.463925,193.32555
195.088625,201.512,193.35195
195.1105,201.5445,193.3776
195.143375,201.578025,193.4144
195.1818,201.619925,193.45255
195.263375,201.655625,193.46925
195.28225,201.68665,193.588575
195.37245,201.7117,193.6021
195.411875,201.7435,193.632975
195.440775,201.7952,193.6697
195.464375,201.830575,193.695175
195.490825,201.850775,193.732675
195.5192,201.884525,193.8109
195.556625,201.91995,193.822975
195.60795,201.950875,193.833975
195.673725,201.990925,193.859475
195.724075,202.06085,193.89435
195.757575,202.087375,193.917975
195.784975,202.11625,193.9644
195.806775,202.155275,194.00045
195.839925,202.2314,194.13945
195.8665,202.27225,194.170175
195.89565,202.306375,194.219125
195.925925,202.366975,194.235125
195.968975,202.40185,194.25665
196.009625,202.436775,194.29
196.0511,202.47425,194.3431
196.080975,202.516275,194.38505
196.122175,202.554375,194.467525
196.151675,202.589925,194.54745
196.180275,202.614225,194.623475
196.2059,202.641875,194.6958
196.228425,202.65825,194.7115
196.26395,202.6771,194.836275
196.30965,202.72185,194.863175
196.3756,202.7602,194.892825
196.41855,202.789925,194.9073
196.45765,202.8207,194.97245
196.55335,202.859675,194.99975
196.602225,202.88265,195.03165
196.65535,202.913625,195.03945
196.729,202.936275,195.0815
196.759575,202.95785,195.384425
196.8222,202.97225,195.431125
196.851075,203.004375,195.507075
196.9133,203.029325,195.641075
196.95985,203.05535,195.7734
197.015725,203.147625,195.7823
197.04175,203.22805,195.8315
197.0803,203.2469,195.8453
197.1421,203.3119,195.906375
197.177575,203.334825,195.9714
197.201,203.379975,196.05165
197.22415,203.40955,196.181325
197.282,203.513025,196.242475
197.32445,203.55895,196.327225
197.380575,203.593625,196.40945
197.448575,203.62625,196.5364
197.49225,203.651375,196.559375
197.56205,203.694325,196.610575
197.61575,203.748525,196.642875
197.663625,203.782625,196.72
197.7301,203.804075,196.7681
197.77135,203.829775,196.825075
197.82785,203.868375,196.847425
197.866075,203.899075,196.86575
197.91235,203.925025,196.9081
197.95985,204.03115,196.9564
197.99715,204.05435,197.02885
198.07435,204.07695,197.0396
198.12395,204.1031,197.058575
198.173925,204.127825,197.0888
198.216175,204.149025,197.1551
198.23795,204.173875,197.189525
198.2739,204.198975,197.335325
198.300125,204.221025,197.367725
198.3265,204.268075,197.382
198.355725,204.3444,197.418775
198.379,204.3593,197.4598
