SPK_SPKC04b,SPK_SPKC11a
437.15195,500.054175
437.164975,500.085475
437.177825,500.144825
437.200675,500.190475
437.220725,500.23685
437.257225,500.28595
437.29695,500.331325
437.316275,500.467525
437.3355,500.544925
437.35165,500.71495
437.3698,500.728975
437.378575,500.754825
437.393825,500.767975
437.40545,500.788825
437.41925,500.8395
437.4314,500.85295
437.449625,500.945075
437.45495,500.975675
437.4698,501.2777
437.47785,501.283725
437.490425,501.317125
437.5032,501.328375
437.515675,501.336375
437.55955,501.3735
437.59595,501.4008
437.617075,501.46705
437.663625,501.5245
437.697975,501.551075
437.72405,501.5992
437.7518,501.610725
437.761025,501.6314
437.79075,501.6371
437.809525,501.643075
437.824325,501.649625
437.833675,501.835625
437.8501,501.853225
437.861175,501.890475
437.8696,502.00875
437.887525,502.068525
437.895325,502.133
437.901175,502.1596
437.9106,502.18895
437.929875,502.194025
437.9378,502.2204
437.9488,502.264275
437.9696,502.288675
438.0026,502.366925
438.0783,502.55445
438.108775,502.623775
438.1289,502.672525
438.184025,502.768575
438.205075,502.93825
438.215225,503.03815
438.229425,503.1357
438.25735,503.153375
438.274025,503.17845
438.286875,503.1952
438.3192,503.325025
438.33405,503.385975
438.344125,503.470875
438.3607,503.520625
438.378975,503.608525
438.393025,503.653625
438.4154,503.786625
438.433825,503.949625
438.446,504.203025
438.45685,504.3714
438.46925,504.51335
438.495725,504.645
438.514475,504.814375
438.541175,504.858475
438.601125,504.8662
438.6279,504.88115
438.66165,504.896025
