SPK_SPKC05a (exc),SPK_SPKC15a (no response)
617.67455,654.862525
617.747725,655.0523
617.873475,656.215175
617.93375,656.378325
618.170625,656.63585
618.254875,657.1316
618.3132,657.590225
618.427325,657.7761
618.535375,659.08645
618.5424,659.20265
618.61815,659.3185
618.678025,661.907825
618.69015,662.11905
618.7546,662.614975
618.865725,662.849325
618.94835,668.41265
618.95385,668.461575
619.020525,668.561575
619.099275,668.5816
619.244075,668.6578
619.262475,668.719075
619.333375,668.739025
619.3383,668.803725
619.4344,668.877875
619.5427,668.891875
619.62695,668.89605
619.762725,668.999225
619.9599,669.045525
619.9911,669.061625
620.06425,669.0867
620.110675,669.110775
620.16945,669.173575
620.22725,669.2118
620.2743,669.297425
620.2942,669.3644
620.3792,669.4101
620.519,669.57385
620.6139,669.698325
620.6504,669.74865
620.691725,669.80015
620.750825,669.82665
620.831525,670.12475
620.9095,670.179825
621.029625,670.2147
621.20855,670.352875
621.24285,670.4869
621.3589,670.562775
621.451025,670.569875
621.566525,670.7645
621.61595,670.929
621.747475,671.05035
621.7974,671.105925
621.92725,671.176875
622.070825,671.2617
622.139275,671.485425
622.189375,672.25315
622.472775,672.3789
622.57705,672.708525
622.726275,672.731675
622.835525,673.172275
622.9709,673.278875
623.0479,673.498375
623.102125,673.538675
623.190825,673.6066
623.25735,673.675825
623.343675,673.75355
623.559,673.809075
623.586275,673.834225
623.737275,673.86075
623.80705,673.896475
623.89435,674.095375
624.036,674.1614
624.08995,674.205575
624.1704,674.230225
624.233925,674.296975
624.294125,674.356475
624.3883,674.419025
624.590275,674.562275
624.7083,674.645325
624.76285,674.859475
624.952625,674.968125
625.033025,674.998325
625.1298,675.025525
625.281375,675.098375
625.3915,675.12105
625.4169,675.2973
625.649225,675.438525
625.745175,675.550525
625.810825,675.601
625.822125,675.6463
625.89905,675.792
625.91105,675.86705
626.0164,675.9572
626.088025,676.05005
626.119375,676.0924
626.23705,676.19215
626.4335,676.231575
626.5329,676.245525
626.647225,676.286175
626.72095,676.42825
626.791075,676.624275
626.79675,676.7196
626.898075,676.86005
626.986,676.98475
627.06685,677.075
627.1507,677.315925
627.23515,677.409575
627.558725,677.550125
627.62995,677.693075
627.722,677.82835
627.80545,677.9086
627.947925,677.991375
628.1292,678.073675
628.244375,678.167675
628.4077,678.26195
628.494825,678.339975
628.57905,678.7089
628.6151,678.890375
628.744775,678.954225
628.833325,679.006275
628.876425,679.03525
629.08525,679.123725
629.15035,679.261675
629.255,679.285
629.53605,679.319975
629.683325,679.4119
629.954775,679.520325
630.07365,679.6346
630.141575,679.7855
630.2532,680.091925
630.414375,680.343725
630.47335,680.44425
630.58365,680.485575
630.6212,680.5594
630.808975,680.625675
630.884975,680.673875
630.99695,680.724125
631.0633,680.769475
631.216875,680.82525
631.292875,680.9593
631.4343,681.05715
631.507125,681.18085
631.563325,681.26265
631.59175,681.44885
631.741525,681.454075
631.84715,681.52275
632.004675,681.590625
632.186975,681.640625
632.34515,681.704275
632.450675,681.776525
632.526175,681.841375
632.58395,682.0387
632.66135,682.15685
632.8094,682.248025
632.9606,682.2954
632.990475,682.5082
633.0812,682.560425
633.092675,682.65515
633.3711,682.810425
633.689475,682.941175
633.8778,683.082725
634.0186,683.142825
634.171375,683.32235
634.3171,683.477825
634.4631,683.82925
634.5491,683.9532
634.666675,684.067775
634.778575,684.96235
634.84815,685.3348
634.97775,685.372925
635.110525,685.6476
635.233725,686.118975
635.33755,686.7463
635.352675,686.969225
635.39445,687.144425
635.463925,687.280575
635.655275,688.072825
635.76445,689.0507
635.874175,690.4366
635.975575,690.524325
636.038525,695.571925
636.117825,699.0443
636.18295,699.1353
636.218475,699.177675
636.2924,699.242175
636.36145,699.2711
636.419075,699.3076
636.44085,699.32115
636.5373,699.341125
636.8037,699.343525
636.904,699.37255
636.9447,699.431875
637.038925,699.486625
637.122575,699.621225
