SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC09a
228.268125,238.85735,213.431575
228.273275,238.962275,213.47065
228.2834,238.99275,213.483275
228.2926,239.0327,213.4953
228.3052,239.089525,213.5064
228.312,239.095025,213.522575
228.322675,239.167925,213.53285
228.329775,239.211025,213.540825
228.338925,239.428225,213.5496
228.37545,239.4383,213.559125
228.5804,239.475125,213.571475
228.7378,239.54585,213.579275
228.75055,239.591075,213.5983
228.775675,239.6123,213.607125
228.7886,239.650375,213.62175
228.823875,239.7404,213.6464
228.898125,239.914775,213.666425
229.1091,239.95755,213.6826
229.1196,240.0541,213.6964
229.12615,240.0706,213.722675
229.129275,240.0846,213.747475
229.135,240.115075,213.79485
229.146875,240.15985,213.830975
229.15005,240.170725,213.864025
229.157275,240.20105,213.88315
229.173925,240.229125,213.8929
229.18075,240.3299,213.91925
229.191925,240.353775,213.931525
229.218175,240.3731,213.937025
229.226725,240.508325,213.94935
229.236675,240.573725,213.9565
229.254375,240.66375,213.97675
229.267375,240.70335,213.991925
229.291725,240.715125,214.01385
229.310725,240.731325,214.035175
229.3255,240.741325,214.047725
229.34885,240.758425,214.078675
229.418125,240.7642,214.1021
229.457225,240.801925,214.11275
229.4748,240.8388,214.13505
229.491175,240.855375,214.173475
229.498875,241.075675,214.198275
229.517925,241.115275,214.227475
229.5275,241.130825,214.270825
229.539825,241.198625,214.289825
229.58815,241.215575,214.31225
229.603625,241.23085,214.33105
229.8457,241.2387,214.3376
229.919475,241.4026,214.36455
230.04785,241.4509,214.403
230.2576,241.46805,214.42485
230.395075,241.48405,214.448175
230.558675,241.634925,214.462775
230.62395,241.761275,214.47345
230.63835,241.888375,214.486125
230.67735,241.914575,214.50045
230.9762,241.93465,214.513075
231.0631,242.013125,214.529525
231.0779,242.032475,214.538925
231.100625,242.08145,214.56715
231.139875,242.10845,214.583275
231.2172,242.20985,214.59495
231.292425,242.34225,214.605175
231.62715,242.351075,214.614275
231.636825,242.409075,214.622475
231.642025,242.414375,214.636025
231.649375,242.44225,214.657775
231.656225,242.451075,214.671675
231.674925,242.475275,214.686775
231.6818,242.49825,214.707975
231.69135,242.527575,214.75355
231.700725,242.593125,214.77725
231.709575,242.65315,214.820425
231.7165,242.74345,214.839375
231.7218,242.762875,214.8577
231.72835,242.805975,214.8789
