SPK_SPKC01a (inhibited),SPK_SPKC03a (excitation + inhibition),SPK_SPKC04a (excited),SPK_SPKC04b (inhibited),SPK_SPKC08a (inhibition + excitation),SPK_SPKC09a (excitation + inhibition),SPK_SPKC09b (no effect),SPK_SPKC12a (weak inhibition),SPK_SPKC16a (excited),SPK_SPKC16b (excited)
6.3772,55.47905,198.937875,22.9209,98.651425,24.608675,7.65575,15.817675,790.04215,12.4022
6.39875,55.493975,199.042625,22.94265,99.356875,24.758825,7.681925,15.844075,790.638475,12.4613
6.401875,56.044175,199.253375,23.087025,99.510675,24.970525,7.7377,15.863225,792.509125,12.471
6.430025,56.08375,200.25935,23.225425,100.286975,25.015325,7.827075,15.91435,805.996175,12.479575
6.449875,57.952575,201.119125,23.4383,100.55645,25.0538,7.877725,15.940025,806.120975,12.49555
6.465275,58.37805,202.6292,23.456325,100.791175,25.1297,7.9443,16.0657,807.931,12.540725
6.500225,58.37985,203.17255,23.492375,100.816475,25.42965,7.966875,16.103625,808.357675,12.57415
6.527425,58.525275,203.42915,23.507025,101.210925,25.515075,8.000275,16.1064,810.032725,12.6001
6.543875,58.57655,203.490975,23.512375,101.548425,25.6053,8.009625,16.2218,810.3655,12.622775
6.5627,59.689375,204.019425,23.662475,101.59415,25.71295,8.0576,16.278675,810.823275,12.660375
6.58005,59.7794,205.093825,23.667975,102.320025,25.774775,8.098375,16.33075,811.601375,12.78255
6.599875,59.91005,205.53415,23.7675,102.341925,25.781175,8.139325,16.4566,813.340625,12.843475
6.6399,60.23675,205.9371,23.91055,102.593575,25.816775,8.1718,16.48385,813.3591,12.94625
6.655225,60.456375,206.01205,23.971175,102.83555,25.9402,8.2217,16.486225,814.417575,12.974
6.68485,60.500125,208.175525,24.156125,102.95,25.949375,8.264475,16.552575,815.51245,12.9953
6.70975,60.608125,208.6734,24.181575,103.04585,25.9509,8.30455,16.56315,837.9528,13.015225
6.72945,60.925775,208.71015,24.3272,103.143975,26.047975,8.322475,16.584125,838.645325,13.02115
6.7338,60.976925,209.4737,24.355475,103.189075,26.06285,8.355325,16.701375,855.763275,13.0517
