SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a,SPK_SPKC10b
78.584525,29.0941,49.4214,,24.028175,23.837925,62.999725,7.87015
78.640225,29.479625,49.909475,,24.13055,23.899875,63.1238,7.876725
79.104325,29.5007,50.009525,,24.16755,23.9899,63.259175,7.9295
79.12185,29.51245,50.059625,,24.1904,24.0375,63.340125,7.945425
79.312975,30.2118,50.441975,,24.2144,24.108975,63.6162,7.9653
79.317125,30.4812,51.3151,,24.354475,24.143475,63.74385,7.99465
79.3645,30.6597,51.522875,,24.42465,24.14675,63.77425,8.036225
79.5313,30.688275,51.575975,,24.5983,24.188025,64.588675,8.0732
79.936425,30.697175,51.657325,,24.6614,24.25355,64.65965,8.101625
80.08315,30.74905,51.779725,,24.729075,24.261925,65.440125,8.108575
80.4282,31.798075,51.794525,,24.887425,24.340875,65.825975,8.17515
80.476575,31.96755,51.861,,24.8899,24.373075,65.8339,8.196725
80.60215,32.014175,51.86535,,25.17605,24.476025,65.874775,8.237175
81.080825,32.10965,52.0756,,25.20125,24.706575,66.028725,8.242
81.35315,32.31085,52.355975,,25.334975,24.7947,66.36245,8.283
81.391825,32.426125,52.463825,,25.497825,24.800825,66.66505,8.286225
81.831325,32.451775,52.549775,,25.780825,24.8595,66.937625,8.329025
82.12535,32.758675,52.668225,,25.79275,24.87585,67.02075,8.34185
82.243275,32.78765,52.981325,,25.81105,24.92565,67.47305,8.37565
82.276075,32.8282,53.037925,,25.8562,25.003475,67.6981,8.38595
82.3636,32.853375,53.212225,,25.882275,25.014,67.804175,8.3942
82.3962,33.0963,53.5422,,26.002,25.0708,68.0016,8.406675
82.4306,33.145575,53.60875,,26.02975,25.12985,68.09055,8.42395
82.4718,33.150275,53.62375,,26.043,25.327625,68.138475,8.44145
82.474375,33.1869,53.638375,,26.053,25.437225,68.235925,8.4425
82.51885,33.19405,53.686875,,26.179075,25.488325,68.248675,8.46975
83.19,33.200225,53.739625,,26.415075,25.524875,68.590225,8.4784
83.263475,33.2582,54.090525,,26.4559,25.61355,68.689475,8.495625
83.29855,33.2624,54.3338,,26.46255,25.65285,68.753625,8.528825
83.55455,33.265425,54.3716,,26.50195,25.72475,69.013675,8.5429
83.579025,33.3811,54.41995,,26.775275,25.7703,69.2114,8.5451
83.58005,33.397325,54.4375,,26.883725,25.845075,69.6223,8.56085
83.6463,33.4756,54.92605,,26.886675,25.958825,70.159875,8.583475
83.801,33.5072,55.183375,,27.158475,26.0129,70.2549,8.599175
83.89335,33.54725,55.259875,,27.213075,26.130525,70.2564,8.628825
84.00665,33.5909,55.3251,,27.27245,26.188625,70.272375,8.643775
84.00985,33.642225,55.3908,,27.39805,26.2464,70.595175,8.65925
84.419125,33.654025,55.605875,,27.51525,26.3215,71.329525,8.680675
84.45065,33.67825,56.009625,,27.536175,26.328525,71.63585,8.736975
84.686625,33.72865,56.3865,,27.581625,26.371825,71.679975,8.918875
