SPK_SPKC03a (weak inhi),SPK_SPKC08a (exc),SPK_SPKC09a (no response),SPK_SPKC10b (weak inhi),SPK_SPKC11a (no response)
269.0984,304.626175,264.83255,276.7963,264.572
269.12095,304.6304,264.8583,276.870775,264.59885
269.1407,304.719175,264.877375,276.881075,264.62005
269.1647,304.72605,264.90175,276.905,264.652025
269.18595,304.8304,264.93425,276.944125,264.683
269.224875,305.183475,265.0208,277.07935,264.7051
269.289325,305.18785,265.042625,277.0826,264.736275
269.361725,305.3655,265.0857,277.122875,264.75505
269.377675,305.623925,265.1135,277.219775,264.7775
269.399375,305.6421,265.134325,277.33155,264.797675
269.42795,305.6477,265.1552,277.36885,264.823475
269.483925,306.1245,265.169125,277.406675,264.8511
269.499725,306.16305,265.21205,277.435925,264.874025
269.51835,306.266175,265.278575,277.52135,264.904475
269.5624,306.278525,265.2968,277.607925,264.92585
