SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11d,SPK_SPKC12a,SPK_SPKC13b,SPK_SPKC14a
225.392425,221.0851,206.6401,306.0009,214.164325,231.84455,207.9618
225.45995,221.1396,206.66665,306.6844,214.1912,231.887275,207.985125
225.52955,221.267125,206.677575,307.063,214.2294,231.950825,208.0666
225.7663,221.431875,206.701725,308.028225,214.241975,231.970625,208.101925
225.84435,221.555525,206.7207,310.11145,214.5435,232.10265,208.1123
225.887775,221.81405,206.742575,310.5397,214.565275,232.22075,208.123075
225.92905,221.878475,206.751775,310.6652,214.680325,232.266625,208.133675
225.97955,221.99905,206.758775,311.774,214.713675,232.2878,208.139075
226.0227,222.26045,206.767925,311.892975,214.8066,232.34305,208.240775
226.279375,222.278775,206.790825,312.164825,214.9896,232.36015,208.288875
226.460825,222.34305,206.821,312.2157,215.06365,232.437825,208.33125
226.585925,222.670175,206.829225,312.283375,215.196325,232.5304,208.380025
226.592425,223.062175,206.847325,312.7812,215.221575,232.742775,208.388275
226.629625,223.382125,206.8701,313.21325,215.226,232.79075,208.45745
226.6949,223.3865,206.9081,313.74575,215.229275,232.805625,208.487975
226.806625,223.491475,206.928725,313.7555,215.23185,232.87705,208.5084
226.81075,223.560775,206.946025,313.763025,215.240225,233.024325,208.528475
226.878425,223.6023,206.97965,313.830125,215.305025,233.0771,208.542275
227.006075,223.650725,207.004325,315.059725,215.325175,233.446775,208.55425
227.03325,223.686675,207.022575,315.54285,215.345025,233.4705,208.621025
227.14795,223.849925,207.04135,315.939125,215.3641,233.490625,208.693925
227.159625,223.8703,207.052325,316.15295,215.45435,233.66455,208.703575
227.16565,223.8772,207.05625,316.448425,215.5138,233.6792,208.711125
227.2005,223.89305,207.073125,316.46555,215.566075,233.857575,208.787825
227.513825,223.957875,207.092225,316.75705,215.57015,233.960825,208.822175
227.602175,224.00885,207.1021,318.0341,215.575725,234.06545,208.8666
227.61455,224.1161,207.116525,319.34795,215.586925,234.1032,208.903625
227.744975,224.138825,207.166875,319.556825,215.59135,234.135175,208.939225
227.8378,224.206525,207.193925,319.90505,215.603125,234.13875,208.971575
227.935175,224.2248,207.2214,320.00995,215.640825,234.206075,209.0235
228.029175,224.244925,207.2451,320.176975,215.645175,234.324475,209.064825
228.056475,224.279625,207.275975,320.3891,215.65565,234.482925,209.074075
228.085175,224.347275,207.292975,321.66765,215.6603,234.50795,209.1094
228.094025,224.379175,207.298,321.83105,215.6678,234.547475,209.117525
228.1015,224.4339,207.318,322.12845,215.69905,234.595975,209.134925
228.44175,224.438025,207.3363,322.7342,215.702625,234.63235,209.182125
228.449575,224.472,207.34725,322.90285,215.707775,234.656825,209.2374
