SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03b,SPK_SPKC07b,SPK_SPKC07c,SPK_SPKC12a,SPK_SPKC14c
121.486375,117.183975,110.69145,128.993425,140.8116,121.3859,108.2824
121.507575,117.210275,110.693875,129.2309,140.817125,121.419325,108.3226
121.6995,117.243175,110.70235,129.2765,140.825175,121.471025,108.334825
121.741875,117.26935,110.710225,129.3549,140.83085,121.47865,108.3472
121.774475,117.29715,110.716825,129.379325,140.901725,121.486575,108.35985
121.827325,117.326025,110.732525,129.42325,140.9191,121.508275,108.377425
121.882925,117.352775,110.745875,129.520875,141.174425,121.519675,108.393625
121.89905,117.38755,110.7564,129.559275,141.192975,121.53155,108.4011
121.9619,117.433425,110.772275,129.5669,141.2017,121.536225,108.4147
122.018025,117.5349,110.777975,129.67345,141.22535,121.54575,108.422775
122.2254,117.589525,110.78795,129.69745,141.257825,121.55905,108.4433
122.32055,117.8305,110.8098,129.722,141.3673,121.58475,108.4514
122.340325,117.843875,110.826275,129.767625,141.387875,121.672975,108.463625
122.377775,117.856825,110.8634,129.92245,141.402875,121.697475,108.51685
122.413875,117.87135,110.876575,130.03175,141.4131,121.7289,108.53305
122.571925,117.881825,110.9494,130.166375,141.4311,121.80845,108.55205
122.64585,117.9207,110.98825,130.2248,141.529825,121.88115,108.564075
122.65055,117.988475,111.0086,130.25435,141.54085,121.9435,108.59285
122.668725,118.028925,111.317675,130.338525,141.55175,121.95175,108.6038
122.720725,118.06765,111.3286,130.88105,141.61465,121.9719,108.625725
122.81145,118.08095,111.365725,130.93755,142.019775,122.004725,108.64135
122.840725,118.09845,111.394875,131.0287,142.0222,122.0604,108.658175
122.93705,118.125275,111.401125,131.07355,142.2733,122.108425,108.67135
123.089225,118.15835,111.446075,131.133725,142.31985,122.216425,108.6899
123.103075,118.2416,111.49485,131.288225,142.465975,122.31105,108.718725
123.135675,118.34545,111.5091,131.294575,142.606425,122.3958,108.731425
123.15095,118.370125,111.52285,131.32045,142.743225,122.45515,108.77665
123.25445,118.384125,111.536575,131.325025,142.893575,122.48625,108.79165
123.279225,118.393425,111.6941,131.408125,142.982575,122.561475,108.82885
123.426425,118.401725,111.77975,131.416775,143.1644,122.562525,108.863275
123.52045,118.408275,111.802175,131.422825,143.25905,122.66565,108.902825
123.60255,118.429375,111.8971,131.43295,143.263425,122.695125,108.924925
123.6038,118.44315,111.915675,131.876525,143.2698,122.701725,108.9499
123.6883,118.458375,111.941125,131.9016,143.271125,122.732125,108.961725
123.724025,118.490025,111.954425,131.943025,143.2892,122.760425,108.9904
123.748725,118.5154,111.967175,132.0309,143.292025,122.78555,109.02915
123.793575,118.5251,111.97985,132.045125,143.2983,122.86395,109.041175
123.838375,118.5495,111.991825,132.072325,143.299525,122.8952,109.049975
123.9971,118.58765,112.00495,132.108725,143.31605,122.9307,109.072125
124.05555,118.60025,112.01895,132.24895,143.36985,122.986525,109.09595
124.07075,118.64805,112.062625,132.2772,143.38335,122.99705,109.135875
124.105175,118.66945,112.074225,132.307525,143.424425,123.0159,109.17445
124.12855,118.705875,112.104125,132.3711,143.5165,123.1148,109.192825
124.136775,118.937975,112.112575,132.4282,143.545025,123.12425,109.210275
124.160725,118.986975,112.126475,132.45945,143.68595,123.1579,109.2317
124.19015,119.0088,112.13465,132.502775,143.773175,123.284825,109.26445
124.192525,119.0331,112.1413,132.52795,143.785725,123.411225,109.304625
124.21195,119.0633,112.203375,132.976325,143.79325,123.425225,109.324325
124.2641,119.101975,112.229625,133.0274,143.801675,123.518575,109.373475
124.299325,119.3893,112.27945,133.0407,143.808725,123.67515,109.39135
124.3259,119.400225,112.28975,133.05865,143.837375,123.71065,109.406975
124.363625,119.4089,112.33305,133.084325,143.863875,123.835475,109.42455
124.436575,119.42805,112.421925,133.103225,143.88765,123.918325,109.441025
