SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
,39.91695,128.569625,102.810775,22.52935,,6.231725,34.520025
,39.94025,128.83385,102.866875,22.559925,,6.241725,34.5312
,40.0109,128.84775,103.026425,22.592375,,6.2516,34.74115
,40.09795,129.126475,103.149325,22.609375,,6.260125,34.7742
,40.2308,129.5506,103.40305,22.6893,,6.26545,34.9076
,40.49405,129.670025,103.4134,22.80825,,6.29215,34.929075
,40.50875,129.70745,103.580725,22.911325,,6.322325,34.942
,40.6144,130.165125,103.651275,22.999475,,6.3345,34.965575
,40.860475,130.1926,103.9151,23.018975,,6.355575,35.1041
,41.062225,130.426975,103.929,23.1834,,6.370475,35.13155
,41.12915,130.54275,104.169075,23.2479,,6.38115,35.274625
,41.337475,130.915125,104.18835,23.386225,,6.3924,35.28485
,41.4669,130.932775,104.2824,23.408175,,6.4049,35.412375
,41.48025,131.85595,104.457,23.418775,,6.432925,35.496675
,41.918775,132.187525,104.638675,23.423125,,6.447375,35.660875
,42.2393,132.734,104.6693,23.4291,,6.46785,35.689225
,42.2733,134.151975,104.793175,23.57965,,6.494575,35.8158
,42.4205,134.531875,104.951775,23.59325,,6.546525,35.8445
,42.4321,135.181625,105.13365,23.71455,,6.572075,35.857225
,43.110925,135.2246,105.291325,24.015125,,6.647575,36.072275
,43.13145,135.87375,105.6391,24.1102,,6.697675,36.3216
,44.045725,136.26835,105.903875,24.29105,,6.7087,36.395775
,44.2142,136.48985,105.93455,24.383525,,6.715475,36.4242
,44.857825,136.503375,105.9713,24.395275,,6.72065,36.481075
,45.2804,136.6522,106.815725,24.52425,,6.7242,36.6987
,45.4769,136.699725,107.308675,24.725925,,6.72955,36.746975
,45.576075,137.72705,107.41525,24.742475,,6.73285,36.83565
,45.648925,138.0177,107.43395,24.912725,,6.739675,36.917075
,45.655975,138.136725,107.4973,25.0198,,6.74355,36.952425
,45.706175,138.386425,107.506075,25.03975,,6.747825,36.989725
,45.7509,138.646225,107.6603,25.060725,,6.758475,36.99775
,45.788375,139.44285,107.813425,25.15605,,6.769775,37.010225
,46.03205,139.850525,107.903225,25.16795,,6.7813,37.0393
